Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-116.89
7,188.38
8,188.57
9,470.0
10,731.03
11,917.92
12,1256.6
13,1412.87
14,1444.09
15,2893.09
16,3061.04
17,3069.62
