Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-541.82
7,75.09
8,107.04
9,150.76
10,266.14
11,326.38
12,363.99
13,414.18
14,501.28
15,531.7
16,566.97
17,739.61
18,768.32
19,795.99
20,871.04
21,927.42
22,940.14
23,966.58
24,990.95
25,1017.79
26,1050.04
27,1072.07
28,1092.66
29,1202.98
30,1236.71
31,1256.59
32,1272.44
33,1299.07
34,1362.48
35,1421.19
36,1439.02
37,1517.94
38,1563.11
39,3046.94
40,3052.34
41,3061.05
42,3066.62
43,3080.83
44,3084.65
45,3097.16
46,3110.25
47,3114.46
