Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-116.88
7,188.31
8,188.59
9,470.0
10,731.01
11,917.91
12,1256.59
13,1412.87
14,1444.09
15,2893.09
16,3061.05
17,3069.6
