Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-524.54
7,92.3
8,151.6
9,188.79
10,282.5
11,351.77
12,368.98
13,413.54
14,514.27
15,534.49
16,661.14
17,740.96
18,792.04
19,800.68
20,871.65
21,923.74
22,939.11
23,966.58
24,988.32
25,1014.57
26,1041.89
27,1067.52
28,1083.17
29,1198.45
30,1237.98
31,1256.41
32,1273.26
33,1300.15
34,1362.64
35,1420.14
36,1438.66
37,1520.77
38,1562.71
39,3049.05
40,3054.82
41,3066.13
42,3078.07
43,3082.64
44,3088.84
45,3098.28
46,3112.38
47,3115.7
