Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-169.57
7,151.48
8,208.3
9,553.61
10,811.53
11,979.87
12,1267.4
13,1424.03
14,1435.56
15,2958.52
16,3057.76
17,3066.36
