Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-351.6
7,187.34
8,197.95
9,197.96
10,1013.22
11,1024.57
12,1024.64
13,1335.99
14,1336.08
15,3141.89
16,3232.28
17,3232.31
