Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-534.53
7,117.41
8,182.25
9,215.54
10,298.49
11,374.5
12,393.91
13,441.14
14,525.47
15,536.81
16,745.43
17,780.85
18,789.89
19,873.52
20,888.53
21,933.57
22,970.42
23,973.33
24,985.9
25,1004.58
26,1028.74
27,1059.69
28,1124.48
29,1217.7
30,1238.13
31,1255.86
32,1278.81
33,1328.07
34,1364.84
35,1421.72
36,1449.01
37,1531.35
38,1564.39
39,3048.49
40,3057.76
41,3075.49
42,3077.03
43,3083.31
44,3100.52
45,3109.93
46,3111.96
47,3151.81
