Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-146.69
7,176.49
8,198.22
9,476.26
10,764.82
11,953.99
12,1265.55
13,1413.49
14,1439.09
15,2906.86
16,3049.89
17,3058.55
