Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-290.45
7,134.34
8,178.23
9,178.23
10,990.71
11,1012.83
12,1012.91
13,1335.42
14,1335.43
15,3148.3
16,3236.01
17,3236.02
