Index,Frequency
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-527.72
7,335.28
8,335.68
9,361.4
10,994.48
11,994.69
12,1126.96
13,1310.89
14,1311.23
15,3091.35
16,3299.82
17,3299.82
